"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 19:25:38 IDT 2024","Sun Sep 08 19:25:39 IDT 2024","810","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:34 IDT 2024","Sun Sep 08 19:25:35 IDT 2024","1001","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:37 IDT 2024","Sun Sep 08 19:25:38 IDT 2024","817","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:39 IDT 2024","Sun Sep 08 19:25:40 IDT 2024","796","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:38 IDT 2024","Sun Sep 08 19:25:38 IDT 2024","776","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:28 IDT 2024","Sun Sep 08 19:25:33 IDT 2024","4623","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:43 IDT 2024","Sun Sep 08 19:25:43 IDT 2024","827","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:35 IDT 2024","Sun Sep 08 19:25:36 IDT 2024","892","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:33 IDT 2024","Sun Sep 08 19:25:34 IDT 2024","989","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:36 IDT 2024","Sun Sep 08 19:25:37 IDT 2024","842","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:41 IDT 2024","Sun Sep 08 19:25:42 IDT 2024","837","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:42 IDT 2024","Sun Sep 08 19:25:43 IDT 2024","807","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:40 IDT 2024","Sun Sep 08 19:25:41 IDT 2024","842","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
"passed","Sun Sep 08 19:25:43 IDT 2024","Sun Sep 08 19:25:44 IDT 2024","838","Default Suite","PhoneBook_QA43","restassured.RegistrationTest","restassured.RegistrationTest","registrationNegativeTests","registrationNegativeTests",""
